Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_1,0.027755,0.078088,0.086471,0,0,0,0.044157,3.9621E-05,8.1957E-06,-3.2151E-06,4.0426E-05,-4.2277E-06,6.6957E-05,0,0,0,0,0,0,package://hand4/meshes/base_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/base_link_1.STL,,装配体1.STEP-1/零件9_装配体1.STEP-1;装配体1.STEP-1/手掌V0接近绝×8.STEP-1,坐标系63,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb1,0.0054918,0.0055679,0.018611,0,0,0,0.009529,1.7742E-06,-3.8018E-07,2.6852E-07,1.8881E-06,3.4735E-07,2.3381E-06,0,0,0,0,0,0,package://hand4/meshes/thumb1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/thumb1.STL,,装配体1.STEP-1/拇指示意.STEP-1/零件10_拇指示意.STEP-1;装配体1.STEP-1/拇指回转支架.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/零件8_拇指示意.STEP-1;装配体1.STEP-1/零件2_装配体1.STEP-5,坐标系1,基准轴1,thumb1_joint,revolute,0.048861,0.082907,0.085319,-1.5708,0,0,base_link_1,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
thumb2,-4.6491E-16,2.6368E-16,-5E-05,0,0,0,0.00094727,1.8337E-08,-6.2155E-11,-1.4889E-23,1.8296E-08,2.2747E-24,3.5591E-08,0,0,0,0,0,0,package://hand4/meshes/thumb2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/thumb2.STL,,装配体1.STEP-1/拇指示意.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/90-big.stp.STEP-2,坐标系2,基准轴2,thumb2_joint,revolute,0.04793,0.011792,0.0034772,0.62923,-0.95066,1.164,thumb1,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
thumb3,-0.0018249,-0.023563,0.00020293,0,0,0,0.0064744,7.2489E-07,1.3807E-08,5.4762E-09,2.2725E-07,4.2914E-09,7.0306E-07,0,0,0,0,0,0,package://hand4/meshes/thumb3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/thumb3.STL,,装配体1.STEP-1/拇指示意.STEP-1/零件12_拇指示意.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指后壳.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指近指节1.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指近指节2.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/近指节_16_18 V1.STEP-1/Copy of 零件3_近指节_16_18 V1.STEP-1,坐标系3,基准轴3,thumb3_joint,revolute,0,0,0,3.1416,-1.5708,0,thumb2,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
thumb4,0.019171,-0.0011119,0.00019453,0,0,0,0.0090225,4.6256E-07,-8.3094E-08,-4.986E-08,9.0182E-07,-1.3241E-08,6.7735E-07,0,0,0,0,0,0,package://hand4/meshes/thumb4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/thumb4.STL,,装配体1.STEP-1/拇指示意.STEP-1/指尖26mm PX6AX-GEN3-DP-M2826-Omega PXSR-STDDP03B.stp.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指指尖2.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指指尖1.STEP-1,坐标系4,基准轴4,thumb4_hoint,revolute,-0.00057142,-0.036717,-0.00046,0,0,-1.5708,thumb3,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
index1,2.9837E-16,-9.3675E-17,-5E-05,0,0,0,0.00094727,1.8349E-08,-3.9802E-11,-2.4815E-24,1.8284E-08,1.4729E-24,3.5591E-08,0,0,0,0,0,0,package://hand4/meshes/index1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/index1.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/装配体1_手指示意10_16.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/90-big.stp.STEP-1,坐标系5,基准轴5,index1_joint,revolute,0.065353,0.014156,0.083414,0,0.17453,0,base_link_1,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
index2,0.00056224,-0.028225,0.00028053,0,0,0,0.0054497,5.9437E-07,3.5062E-08,4.622E-09,2.5267E-07,-1.1687E-08,6.0861E-07,0,0,0,0,0,0,package://hand4/meshes/index2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand4/meshes/index2.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/手指近指节2.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/Copy of 零件3_近指节_16_18 V0.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/手指近指节1.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/关节力矩模块V0-2.STEP-1/力矩连接部分X0.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/零件12_手指示意10_16.STEP-1,坐标系6,基准轴6,index2_joint,revolute,0,0,0,3.1416,-1.5708,0,index1,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
index3,0.00071444265744805,-0.0132073207946737,-0.000747026737192069,0,0,0,0.00181792246567547,9.97398556538736E-08,7.15793520327117E-09,-6.68761117449821E-11,5.04521276414916E-08,3.68790357788505E-09,1.25707330114771E-07,0,0,0,0,0,0,package://hand4/meshes/index3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand4/meshes/index3.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/中指节左.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/中指节右.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/指尖霍尔板(背).STEP-1,坐标系7,基准轴7,index3_joint,revolute,-0.0005,-0.044694,-1.0001E-05,0,0,0,index2,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
index4,-0.00357726278529166,-0.0122885302864586,0.000175233594590429,0,0,0,0.00244891729010408,1.08568634981218E-07,1.62097956525348E-08,7.99985810673682E-10,5.31121804651697E-08,-1.77313203122964E-09,9.46741558329683E-08,0,0,0,0,0,0,package://hand4/meshes/index4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand4/meshes/index4.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/指尖15mm PX6AX-GEN3-DP-S2015-Elite PXSR-STDDP03G.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/指尖V0.STEP-1,坐标系8,基准轴8,index4_joint,revolute,0.0023837,-0.023881,0,0,0,0,index3,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
middle1,3.05311331771918E-16,-9.71445146547012E-17,-5.00000000010631E-05,0,0,0,0.000947272810228728,1.83494800658386E-08,-3.98024133390021E-11,4.6940627334913E-25,1.82838824612882E-08,-1.29981207972388E-25,3.55913668739275E-08,0,0,0,0,0,0,package://hand4/meshes/middle1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand4/meshes/middle1.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-1/装配体1_手指示意10_16.STEP-1/90-big.stp.STEP-1,坐标系9,基准轴9,middle1_joint,revolute,0.039195,0.0075839,0.085379,0,0,0,base_link_1,0,0,-1,10,1,-3.14,3.14,,,0,0.1,,,,
